son daughter
sons daughters
father mother
fathers mothers
brother sister
brothers sisters
uncle aunt
uncles aunts
nephew niece
nephews nieces
actor actress
actors actresses
prince princess
princes princesses
waiter waitress
waiters waitresses
groom bride
grooms brides
dad mom
dads moms
daddy mommy
daddies mommies
duke duchess
dukes duchesses
emperor empress
emperors empresses
god goddess
gods goddesses
grandfather grandmother
grandfathers grandmothers
heir heiress
heirs heiresses
hero heroine
heroes heroines
host hostess
hosts hostesses
husband wife
husbands wives
king queen
kings queens
policeman policewoman
policemen policewomen
wizard witch
wizards witches
papa mama
papas mamas
count countess
counts countesses
landlord landlady
landlords landladies
grandson granddaughter
grandsons granddaughters
monk nun
monks nuns
priest priestess
priests priestesses
