he she
his hers
her him
himself herself
man woman
women men
womens mens
boy girl
boys girls
male female
males females
dad mom
moms dads
pa ma
daddy mommy
mama papa
wife husband
wives husbands
son daughter
sons daughters
maids butlers
mother father
mothers fathers
king queen
kings queens
brother sister
brothers sisters
grandson granddaughter
grandsons granddaughters
grandmother grandfather
grandmothers grandfathers
grandma grandpa
niece nephew
widow widower
widows widowers
masculinity femininity
nephew niece
nephews nieces
bride groom
aunt uncle
girlfriend boyfriend
girlfriends boyfriends
actress actor
lesbian gay
lesbians gays
lady gentleman
ladies gentlemen
bachelor bachelorette
underage_girls underage_boys
bachelors bachelorettes
prince princess
princes princesses
actress actor
actresses actors
stepfather stepmother
waitress waiter
maternal paternal
heroine hero
fiance fiancee
penis vagina
schoolboy schoolgirl
fraternal sororal
brotherhood sisterhood
godfather godmother
stepson stepdaughter
fraternities sororities
barbershop salon
daughters sons
heroines heroes
crown_prince crown_princess
uncles aunts
beauty_queen beauty_king
maternal_grandmother mathernal_grandfather
witch wizard
moms dads
hostess host
sir madam
paternity maternity
sorority fraternity
czar czarina
brides grooms
patriarch matriarch
stepmother stepfather
fathered mothered
goddess god
stepdaughter stepson
godfather godmother
boyhood girlhood
grandpa grandma
boyfriends girlfriends
ex_girlfriend ex_boyfriend
estranged_wife estranged_husband
teenage_girls teenage_boys
teenage_girl teenage_boy 
younger_brother younger_sister
eldest_son eldest_daughter
elder_brother elder_sister
twin_brother twin_sister
queen_mother king_father
eldest_daughter eldest_son
salesman saleswoman
businessman businesswoman
gynecologist oncologist
businessmen businesswomen
congressman congresswoman
councilman councilwoman
spokesman spokeswoman
chairman chairwoman
countrymen countrywomen
spokesmen spokeswoman
chairwoman chairman
spokeswoman spokesman
statesman stateswoman
countryman countrywoman
salesmen saleswomen
businessman businesswoman
councilwoman councilman
spokesmen spokeswomen
councilmen councilwomen
manhood womanhood
sisterhood brotherhood
motherhood fatherhood
lion lioness
lions lionesses
colt filly
colts fillies
mare stallion
mares stallions
deer doe
manly womanly
bull cow
bulls cows
testosterone estrogen
prostate_cancer ovarian_cancer
baritone soprano
brethren sistren
witches wizards
heiress heir
monastery convent
hens roosters
hen rooster
